,fund,cik
192,ARROWGRASS VEGA LP,['0001515783']
193,ASPECT CAPITAL LTD,['0001393234']
194,BAUPOST GROUP GP,['0001738693']
195,BAUPOST GROUP INC,['0000842322']
196,BAUPOST GROUP LLC ,['0001054420']
197,BAUPOST GROUP LLC,['0001061768']
198,BLACKROCK ADVISORS ,['0001034551']
199,BLACKROCK ADVISORS INC,['0001086364']
200,BLACKROCK ADVISORS LLC,['0001086364']
201,BLUEBAY ASSET MANAGEMENT LLP,['0001402568']
202,BLUEBAY ASSET MANAGEMENT LTD,['0001383918']
203,BLUEBAY ASSET MANAGEMENT LTD,['0001402568']
204,BLUEBAY ASSET MANAGEMENT PLC,['0001402568']
205,BLUEBAY ASSET MANAGEMENT USA LLC,['0001628351']
206,BLUECREST CAPITAL MANAGEMENT LLP,['0001363542']
207,BLUECREST CAPITAL MANAGEMENT LTD,['0001363542']
208,BLUECREST CAPITAL MANAGEMENT LTD,['0001445563']
209,BLUECREST CAPITAL MANAGEMENT LTD,['0001610880']
210,ALTERNATIVEFOCUS BREVAN HOWARD L.P.,['0001476585']
211,ALTERNATIVEFOCUS BREVAN HOWARD LTD.,['0001476584']
212,BREVAN HOWARD ,['0001600218']
213,BREVAN HOWARD AH FUND LTD.,['0001699450']
214,BREVAN HOWARD AH FUND,['0001699427']
215,BREVAN HOWARD ALPHA STRATEGIES FUND LTD,['0001750654']
216,BREVAN HOWARD ALPHA STRATEGIES FUND,['0001750653']
217,BREVAN HOWARD ARGENTINA FUND LTD,['0001628076']
218,BREVAN HOWARD ARGENTINA FUND,['0001628073']
219,BREVAN HOWARD AS MACRO FUND LTD.,['0001718766']
220,BREVAN HOWARD AS MACRO FUND,['0001718772']
221,BREVAN HOWARD ASIA FUND LP,['0001402821']
222,BREVAN HOWARD ASIA FUND LTD,['0001403020']
223,BREVAN HOWARD ASSET MANAGEMENT LLP,['0001415453']
224,BREVAN HOWARD CAPITAL MANAGEMENT LP,['0001512857']
225,BREVAN HOWARD CMBS FUND LTD,['0001550878']
226,BREVAN HOWARD CMBS FUND,['0001550984']
227,BREVAN HOWARD COMMODITIES STRATEGIES FUND LTD,['0001489617']
228,BREVAN HOWARD COMMODITIES STRATEGIES FUND,['0001489618']
229,BREVAN HOWARD CREDIT CATALYSTS FUND LTD,['0001466293']
230,BREVAN HOWARD CREDIT CATALYSTS FUND,['0001466241']
231,BREVAN HOWARD CREDIT VALUE FUND LTD,['0001544985']
232,BREVAN HOWARD CREDIT VALUE FUND,['0001544984']
233,BREVAN HOWARD DIVERSIFIED STRATEGIES FUND LTD.,['0001714114']
234,BREVAN HOWARD DIVERSIFIED STRATEGIES FUND,['0001714120']
235,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME FUND LTD.,['0001528623']
236,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME FUND,['0001517605']
237,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME LEVERAGED FUND LTD,['0001596090']
238,BREVAN HOWARD EMERGING MARKETS LOCAL FIXED INCOME LEVERAGED FUND,['0001595502']
239,BREVAN HOWARD EMERGING MARKETS STRATEGIES FUND LP,['0001434436']
240,BREVAN HOWARD EMERGING MARKETS STRATEGIES FUND LTD,['0001456620']
241,BREVAN HOWARD EMERGING MARKETS STRATEGIES LTD,['0001456620']
242,BREVAN HOWARD EQUITY STRATEGIES FUND LP,['0001402820']
243,BREVAN HOWARD EQUITY STRATEGIES FUND LTD,['0001403021']
244,BREVAN HOWARD FG MACRO FUND LTD,['0001754285']
245,BREVAN HOWARD FG MACRO FUND,['0001754283']
246,BREVAN HOWARD FUND LTD,['0001223859']
247,BREVAN HOWARD GLOBAL VOLATILITY FUND LTD.,['0001730393']
248,BREVAN HOWARD GLOBAL VOLATILITY FUND,['0001730381']
249,BREVAN HOWARD GREEK OPPORTUNITIES FUND LTD.,['0001724662']
250,BREVAN HOWARD GREEK OPPORTUNITIES FUND,['0001724660']
251,BREVAN HOWARD INVESTMENT FUND,['0001604666']
252,BREVAN HOWARD INVESTMENT PRODUCTS LTD,['0001512859']
253,BREVAN HOWARD LP,['0001280768']
254,BREVAN HOWARD MACRO FX FUND LTD,['0001555765']
255,BREVAN HOWARD MACRO FX FUND,['0001555803']
256,BREVAN HOWARD MB MACRO FUND LTD.,['0001738310']
257,BREVAN HOWARD MB MACRO FUND,['0001738307']
258,BREVAN HOWARD MULTI,['0001456621']
259,BREVAN HOWARD MULTI,['0001463113']
260,BREVAN HOWARD MULTI,['0001535475']
261,BREVAN HOWARD MULTI,['0001535135']
262,BREVAN HOWARD P,['0001418296']
263,BREVAN HOWARD SECURITIZED PRODUCTS FUND LTD,['0001690721']
264,BREVAN HOWARD SECURITIZED PRODUCTS FUND,['0001690720']
265,BREVAN HOWARD STRATEGIC MACRO FUND LTD,['0001604663']
266,BREVAN HOWARD STRATEGIC MACRO FUND,['0001604652']
267,BREVAN HOWARD SYSTEMATIC TRADING FUND LTD.,['0001547398']
268,BREVAN HOWARD SYSTEMATIC TRADING FUND,['0001517604']
269,BREVAN HOWARD US INVESTMENT MANAGEMENT,['0001634150']
270,BREVAN HOWARD US LLC,['0001465622']
271,BREVAN HOWARD US RATES OPPORTUNITIES FUND LTD,['0001749336']
272,BREVAN HOWARD US RATES OPPORTUNITIES FUND,['0001758118']
273,CARDINAL ALTERNATIVEFOCUS BREVAN HOWARD L.P.,['0001476585']
274,CARDINAL ALTERNATIVEFOCUS BREVAN HOWARD LTD.,['0001476584']
275,HEDGE FUND SELECT,['0001557570']
276,HEDGEFORUM BREVAN HOWARD MULTI,['0001526358']
277,HEDGEFORUM BREVAN HOWARD MULTI,['0001526899']
278,HEDGEFORUM BREVAN HOWARD,['0001487781']
279,HEDGEFORUM BREVAN HOWARD,['0001488381']
280,BRIDGEWATER ASSOCIATES,['0001350694']
281,BRIDGEWATER ASSOCIATES,['0001350694']
282,BRIDGEWATER PURE ALPHA EQUITY OVERLAY FUND,['0001757526']
283,BRIDGEWATER PURE ALPHA FUND II,['0001536982']
284,BRIDGEWATER PURE ALPHA FUND II,['0001536983']
285,BRIDGEWATER PURE ALPHA FUNDS LTD.,['0001536984']
286,BRIDGEWATER PURE ALPHA MAJOR MARKETS FUND III,['0001717940']
287,BRIDGEWATER PURE ALPHA MAJOR MARKETS II,['0001507589']
288,BRIDGEWATER PURE ALPHA MAJOR MARKETS II,['0001521489']
289,BRIDGEWATER PURE ALPHA MAJOR MARKETS,['0001536985']
290,BRIDGEWATER PURE ALPHA MAJOR MARKETS,['0001529071']
291,BRIDGEWATER PURE ALPHA TRADING COMPANY,['0001536986']
292,CANYON PARTNERS INC                                     ,['0000846350']
293,CANYON PARTNERS INCORPORATED,['0000846350']
294,CANYON PARTNERS LLC,['0001298304']
295,CANYON PARTNERS,['0001687176']
296,CANYON PARTNERS,['0001710614']
297,CHARCOAL CANYON PARTNERS,['0001697247']
298,EAST CANYON PARTNERS,['0001514838']
299,LAUREL CANYON PARTNERS,['0001486290']
300,PCP CANYON PARTNERS I LP,['0001394768']
301,RUSTIC CANYON PARTNERS,['0001318557']
302,STEEL CANYON PARTNERS L P,['0001378675']
303,WESTERN PACIFIC HOUSING LYONS CANYON PARTNERS LLC,['0001157111']
304,CAPULA GLOBAL REALTIVE TRUST,['0001409836']
305,CAPULA GLOBAL RELATIVE VALUE FUND LP,['0001409835']
306,CAPULA GLOBAL RELATIVE VALUE FUND LTD,['0001409837']
307,CAPULA GLOBAL RELATIVE VALUE TRUST,['0001409836']
308,CAXTON GLOBAL INVESTMENTS ,['0001495597']
309,CAXTON GLOBAL INVESTMENTS USA LLC,['0001315115']
310,HEDGE FUND SELECT,['0001633547']
311,HEDGE FUND SELECT,['0001633287']
312,CERBERUS CAPITAL MANAGEMENT,['0001525907']
313,CEVIAN CAPITAL II GP LTD,['0001365341']
314,CEVIAN CAPITAL II L.P.,['0001516117']
315,CEVIAN CAPITAL II LTD,['0001428441']
316,CHEYNE CAPITAL INTERNATIONAL LTD,['0001426669']
317,CHEYNE CAPITAL MANAGEMENT ,['0001390457']
318,CHEYNE CAPITAL MANAGEMENT LTD,['0001353097']
319,BA HEDGE FUND DIRECT ,['0001459363']
320,CITADEL AC INVESTMENTS LTD,['0001421342']
321,CITADEL ADVISORS HOLDINGS III LP,['0001640129']
322,CITADEL ADVISORS HOLDINGS LP,['0001567180']
323,CITADEL ADVISORS II LLC,['0001576996']
324,CITADEL ADVISORS LLC,['0001423053']
325,CITADEL ALTERNATIVE ASSET MANAGEMENT LP,['0001429123']
326,CITADEL ASSET MANAGEMENT LTD,['0000799097']
327,CITADEL BROADCASTING CO,['0001042742']
328,CITADEL BROADCASTING CORP,['0001174527']
329,CITADEL CAPITAL MANAGEMENT GROUP,['0001164216']
330,CITADEL CLEARING LLC,['0001616344']
331,CITADEL COMMUNICATIONS CORP,['0000921742']
332,CITADEL COMPUTER SYSTEMS INC,['0000752789']
333,CITADEL CONVERTIBLE OPPORTUNITIES FUND LLC,['0001471118']
334,CITADEL CORP OF SULLIVAN COUNTY,['0001273792']
335,CITADEL CREDIT PRODUCTS LTD,['0001199995']
336,CITADEL CREDIT TRADING LTD,['0001255162']
337,CITADEL DEFENSE CO,['0001690693']
