Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"STLD","STEEL DYNAMICS INC","Equity","0.03","41.07","148,020.00","6,079,181.40","6,079,181.40","Materials","2849472","US8581191009","NASDAQ"
"EQT","EQT CORP","Equity","0.03","34.80","174,709.00","6,079,873.20","6,079,873.20","Energy","2319414","US26884L1098","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.03","32.29","187,570.00","6,056,635.30","6,056,635.30","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","0.03","97.61","61,924.00","6,044,401.64","6,044,401.64","Materials","2504566","US6951561090","New York Stock Exchange Inc."
"DVA","DAVITA INC","Equity","0.03","70.15","86,032.00","6,035,144.80","6,035,144.80","Health Care","2898087","US23918K1088","New York Stock Exchange Inc."
"LKQ","LKQ CORP","Equity","0.03","28.66","210,402.00","6,030,121.32","6,030,121.32","Consumer Discretionary","2971029","US5018892084","NASDAQ"
"SNA","SNAP ON INC","Equity","0.03","161.64","37,265.00","6,023,514.60","6,023,514.60","Industrials","2818740","US8330341012","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.03","137.94","43,600.00","6,014,184.00","6,014,184.00","Industrials","2656423","US6795801009","NASDAQ"
"EXAS","EXACT SCIENCES CORP","Equity","0.03","76.08","79,007.00","6,010,852.56","6,010,852.56","Health Care","2719951","US30063P1057","NASDAQ"
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","0.03","16.71","359,165.00","6,001,647.15","6,001,647.15","Information Technology","2594653","BMG5876H1051","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.03","633.18","9,394.00","5,948,092.92","5,948,092.92","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","0.03","21.05","282,483.00","5,946,267.15","5,946,267.15","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.03","33.70","175,099.00","5,900,836.30","5,900,836.30","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.03","222.57","26,481.00","5,893,876.17","5,893,876.17","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"QRVO","QUORVO INC","Equity","0.03","70.73","82,766.00","5,854,039.18","5,854,039.18","Information Technology","BR9YYP4","US74736K1016","NASDAQ"
"NWL","NEWELL BRANDS INC","Equity","0.03","20.21","289,063.00","5,841,963.23","5,841,963.23","Consumer Discretionary","2635701","US6512291062","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.03","36.23","160,770.00","5,824,697.10","5,824,697.10","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.03","21.48","267,954.00","5,755,651.92","5,755,651.92","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"BG","BUNGE LTD","Equity","0.03","62.48","91,918.00","5,743,036.64","5,743,036.64","Consumer Staples","2788713","BMG169621056","New York Stock Exchange Inc."
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.03","83.27","68,417.00","5,697,083.59","5,697,083.59","Communication","BRTLC06","US5303073051","NASDAQ"
"WU","WESTERN UNION","Equity","0.03","18.97","298,511.00","5,662,753.67","5,662,753.67","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"LB","L BRANDS INC","Equity","0.03","36.96","153,156.00","5,660,645.76","5,660,645.76","Consumer Discretionary","B9M2WX3","US5017971046","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.03","17.87","316,463.00","5,655,193.81","5,655,193.81","Financials","BYYHJL8","US00123Q1040","NASDAQ"
